css-filter-converter	6589
crypto-rand	6476
hpal	6473
nalloc	6431
esbuild-raw-plugin	6415
prisma-generator-fake-data	6364
co-wait	6277
jest-environment-node-debug	6184
opencode-chrome-devtools	6142
nightwatch-html-reporter	5997
aba-generator	5917
pdf417-generator	5849
ololog	5631
ass-stringify	5629
chrome-emulated-devices-list	5498
fela-monolithic	5478
svelte-sitemap	5199
astro-intlayer	5198
moxygen	5054
devtools-detect	5012
create-stx	4996
agent-inspect	4991
groove-dev	4874
extension-develop	4714
prisma-generator-sqlalchemy	4454
bunli	4424
create-feltdb	4363
extension-create	4356
prisma-generator-drizzle	4332
extension	4330
expo-atlas-without-expo	4297
meteor-random	4216
remotedev-server	4160
knex-types	4123
create-mastra	3920
coderifts	3851
fela-beautifier	3747
codeam-cli	3586
adonisjs-server-stats	3438
nestlens	3365
create-kudzu	3351
lightfold	3307
devtools-ignore-webpack-plugin	3264
template-copy	3157
aiterm-mcp	3079
sitemap-generator-cli	3044
create-factory	2951
create-tradejs	2920
electron-react-devtools	2865
browser-extension-manifest-fields	2843
puppeteer-extra-plugin-devtools	2744
assemble	2725
react-native-inapp-inspector	2666
create-urban-app	2622
expo-device-hub	2616
react-vite	2608
monomind	2559
supabase-markdown	2549
rozenite-graphql-client-devtool	2428
fela-enforce-longhands	2421
bvaughn-enquirer	2385
create-vimp-game	2282
uniweb	2258
builder.io	2246
trpc-client-devtools-link	2223
zotero-plugin-scaffold	2200
react-native-ai-devtools	2182
kasy-cli	2139
generate-data	2125
alvamind-workflow	2106
react-remove-attr	2106
cnb	2098
create-lacspace-app	2097
ng-cli-helper	2097
generate-defaults	2067
made-refine	2047
express-generator-typescript	2035
tiny-log-mcp	2018
create-metamynd-agent	2010
react-render-tracker	1951
scaffold-homeframe-app	1951
chobitsu	1935
rozenite-navigation-inspector	1925
create-deepspace	1915
create-awesome-node-app	1856
js.foresight-devtools	1848
envinos	1841
generate-collections	1839
create-koa-boot	1798
tanstack-query-dev-tools-expo-plugin	1790
graphmind-ai	1780
generate	1773
safari-mcp	1772
prodlint	1762
loki-mode	1737
create-shibumi	1734
astro-meta-tags	1588
create-react-component-folder	1577
bhooai-nexus	1575
simple-scaffold	1529
ph-cmd	1526
symlink-resolver	1510
lloyal-ai	1509
gitly	1478
redux-action-log	1467
ccjk	1464
grunt-assemble	1457
singapore-nric	1455
generator-travis	1451
backend-scaffold-cli	1405
create-airlib	1389
agentopology	1325
elcrm	1309
agentsmesh	1304
create-kit-dev	1294
js-reverse-mcp	1291
create-rb-game	1287
vriefcase	1273
create-arkstack	1270
conductor-oss	1263
lighthouse-viewer	1252
kapture-mcp	1240
create-website-build-kit	1237
create-ai-blueprint	1198
storybook-xstate-addon	1195
vite-plugin-favicon-generator	1195
nestjs-devtools-loader	1189
generator-node	1185
birc-generator	1176
webanvil	1132
mcp-scan	1123
react-query-rewind	1097
create-lumi-cms	1081
create-skynet-ui	1078
fis-scaffold-kernel	1052
create-svelte-scorm	1041
clockwork-browser	1038
mex-agent	1035
ghostmark	1031
create-kestrel	1030
create-implement-app	1026
redux-devtools-dispatch	1023
create-spec-flow	1020
mobx-remotedev	1019
execbro	1017
create-electron-vite	1008
create-rakta-app	1006
devtools-timeline-parser	1005
autotel-devtools	997
create-panal-agent	984
couchdb-push	975
vite-plugin-component-debugger	961
create-express-modular	960
unplugin-class-extractor	955
create-ossido	946
create-zfb	933
what-devtools-mcp	920
create-elvel	919
sparkecode-devtools	901
create-dshx	900
rozenite-preview	898
driftjs-vite-plugin	897
empiric-node	897
create-zudo-doc	893
what-devtools	892
nuxt-mongoose	891
create-userkit-app	884
surf-cli	878
go-loader-git	877
remotedev-rn-debugger	851
create-flowmo	841
create-snapback-app	840
prettier-plugin-powershell	840
create-macostack	820
create-thally-docs	814
infrawise	811
redux-devtools-multiple-monitors	807
dotswitch	796
ruvyxa	773
octechpus	766
loki-mode-sdk	761
recoil-state-inspector	756
create-cmp-cli	755
what-framework-cli	754
create-substrat	750
create-kai	746
astro-inspect-clip	742
create-bunext-app	740
create-node-lib	739
create-what	730
webpack-fork-yeoman-generator	729
astro-content-viewer	726
create-barefootjs	726
tribunal-kit	720
workspai	720
ngx-dev-toolbar	714
react-grep	707
rlsbl	703
ai-review-agent	702
create-kywi-app	697
file-explorer-expo-dev-plugin	692
create-ruvyxa	684
zustand-expo-devtools	684
create-tish-app	681
parse-command	680
lineman	677
cleverstack-cli	669
rn-devtools-hub	666
expo-opsqlite-drizzle-studio-plugin	664
create-offramp-app	653
create-mcp-use-app	644
xtarterize	643
create-nativecore	635
create-three-blocks-starter	634
ai-sdk-tools	633
vite-react-mcp	629
wdio-devtools-service	626
create-packkit	625
create-veldora-app	624
bottom-tip	619
mili	607
create-bestax	602
dsh-plugin-guide	602
open-ready	598
nitron	596
metro-mcp	592
create-8004-agent	588
create-zerotal	586
vue-click-to-component	583
expo-xstate-inspect	579
impactus	577
create-gtkx	574
fame	571
create-pathfinder	569
watchmen-cli	569
projscan	562
json-tree-view	560
generator-abacus-fullstack	557
speedrun-cli	557
promexeus	548
react-native-ai-debugger	547
ag-lighthouse	546
nestjs-gen	545
create-agdf	542
go	540
react-devtools-electron	530
create-ait-app	517
uix-kit	515
create-kerf-component	512
create-pracht	510
grunt-init	510
jso-protector	509
prizmkit	509
claude-faf-mcp	491
go-duck-cli	485
create-access-router-mongo-starter	481
create-objectstack	473
docpad	471
create-babylonjs	467
